CVE_MUN,Municipios,,Suma de Total,,,,,,,,
29,"Caxhuacan, Puebla",Caxhuacan,0,172,"Tetela de Ocampo, Puebla",Tetela de Ocampo,16,00172,,,
52,"Chigmecatitlán, Puebla",Chigmecatitlán,0,173,"Teteles de Ávila Castillo, Puebla",Teteles de Ávila Castillo,4,00173,,,
55,"Chila, Puebla",Chila,0,174,"Teziutlán, Puebla",Teziutlán,55,00174,,,
59,"Chinantla, Puebla",Chinantla,0,175,"Tianguismanalco, Puebla",Tianguismanalco,3,00175,,,
30,"Coatepec, Puebla",Coatepec,0,176,"Tilapa, Puebla",Tilapa,1,00176,,,
31,"Coatzingo, Puebla",Coatzingo,0,177,"Tlacotepec de Benito Juárez, Puebla",Tlacotepec de Benito Juárez,21,00177,,,
32,"Cohetzala, Puebla",Cohetzala,0,178,"Tlacuilotepec, Puebla",Tlacuilotepec,0,00178,,,
37,"Coyotepec, Puebla",Coyotepec,0,179,"Tlachichuca, Puebla",Tlachichuca,6,00179,,,
38,"Cuapiaxtla de Madero, Puebla",Cuapiaxtla de Madero,0,180,"Tlahuapan, Puebla",Tlahuapan,5,00180,,,
62,"Epatlán, Puebla",Epatlán,0,181,"Tlaltenango, Puebla",Tlaltenango,1,00181,,,
70,"Huatlatlauca, Puebla",Huatlatlauca,0,182,"Tlanepantla, Puebla",Tlanepantla,3,00182,,,
150,"Huehuetlán el Grande, Puebla",Huehuetlán el Grande,0,183,"Tlaola, Puebla",Tlaola,5,00183,,,
81,"Ixcamilpa de Guerrero, Puebla",Ixcamilpa de Guerrero,0,184,"Tlapacoya, Puebla",Tlapacoya,0,00184,,,
84,"Ixtepec, Puebla",Ixtepec,0,185,"Tlapanalá, Puebla",Tlapanalá,1,00185,,,
87,"Jolalpan, Puebla",Jolalpan,0,186,"Tlatlauquitepec, Puebla",Tlatlauquitepec,31,00186,,,
92,"Juan N. Méndez, Puebla",Juan N. Méndez,0,187,"Tlaxco, Puebla",Tlaxco,5,00187,,,
95,"La Magdalena Tlatlauquitepec, Puebla",La Magdalena Tlatlauquitepec,0,188,"Tochimilco, Puebla",Tochimilco,2,00188,,,
96,"Mazapiltepec de Juárez, Puebla",Mazapiltepec de Juárez,0,189,"Tochtepec, Puebla",Tochtepec,5,00189,,,
100,"Naupan, Puebla",Naupan,0,190,"Totoltepec de Guerrero, Puebla",Totoltepec de Guerrero,1,00190,,,
101,"Nauzontla, Puebla",Nauzontla,0,191,"Tulcingo, Puebla",Tulcingo,1,00191,,,
